,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
precision,0.64,0.8666666666666667,0.7916666666666666,0.48,0.5862068965517241,0.8076923076923077,0.8571428571428571,0.875,0.43478260869565216,0.5161290322580645
recall,0.7619047619047619,0.8125,0.6333333333333333,0.46153846153846156,0.6071428571428571,0.8076923076923077,0.8888888888888888,0.8076923076923077,0.5,0.5333333333333333
f1-score,0.6956521739130435,0.8387096774193549,0.7037037037037038,0.47058823529411764,0.5964912280701754,0.8076923076923077,0.8727272727272727,0.8400000000000001,0.46511627906976744,0.5245901639344263
support,21.0,16.0,30.0,26.0,28.0,26.0,27.0,26.0,20.0,30.0
