,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
precision,0.6666666666666666,0.8235294117647058,0.782608695652174,0.48,0.6428571428571429,0.7777777777777778,0.8571428571428571,0.8695652173913043,0.44,0.5333333333333333
recall,0.7619047619047619,0.875,0.6,0.46153846153846156,0.6428571428571429,0.8076923076923077,0.8888888888888888,0.7692307692307693,0.55,0.5333333333333333
f1-score,0.7111111111111111,0.8484848484848485,0.6792452830188679,0.47058823529411764,0.6428571428571429,0.7924528301886792,0.8727272727272727,0.8163265306122449,0.48888888888888893,0.5333333333333333
support,21.0,16.0,30.0,26.0,28.0,26.0,27.0,26.0,20.0,30.0
