,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
precision,0.8700787401574803,0.9375,0.8424908424908425,0.8448979591836735,0.9311740890688259,0.9011857707509882,0.9266409266409267,0.9227467811158798,0.9195402298850575,0.9078341013824884
recall,0.9364406779661016,0.97165991902834,0.8745247148288974,0.9039301310043668,0.8778625954198473,0.9083665338645418,0.9266409266409267,0.8884297520661157,0.9056603773584906,0.8073770491803278
f1-score,0.9020408163265305,0.9542743538767395,0.8582089552238805,0.8734177215189873,0.9037328094302555,0.9047619047619048,0.9266409266409267,0.9052631578947369,0.9125475285171102,0.8546637744034706
support,236.0,247.0,263.0,229.0,262.0,251.0,259.0,242.0,265.0,244.0
